inningsno,battingteam,playername,playerkey,runs,balls,fours,sixes,sr,howout,opponent,batpos,tournamentkey,matchid,source
2,JNS SUPREMOS,Lavesh Kalsekar,lavesh kalsekar,13.0,10.0,1.0,1.0,130.0,c Varun S b Prathik S,SVKM SUPER STRIKERS,6,jfscdpl202526,5418,playwright
2,JNS SUPREMOS,Kanav Hingorani,kanav hingorani,38.0,13.0,2.0,4.0,292.31,c&b Amit K,SVKM SUPER STRIKERS,7,jfscdpl202526,5418,playwright
2,JNS SUPREMOS,Navratan Bengani,navratan bengani,24.0,16.0,3.0,0.0,150.0,St Chirag J b Amit K,SVKM SUPER STRIKERS,8,jfscdpl202526,5418,playwright
2,JNS SUPREMOS,Sheel Vora,sheel vora,3.0,4.0,0.0,0.0,75.0,run out ( Jigar S / Amit K ),SVKM SUPER STRIKERS,9,jfscdpl202526,5418,playwright
2,JNS SUPREMOS,Aditya Jain,aditya jain,4.0,3.0,0.0,0.0,133.33,not out,SVKM SUPER STRIKERS,10,jfscdpl202526,5418,playwright
2,JNS SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,10.0,12.0,1.0,0.0,83.33,b Seemab K,JNS RANGERS,1,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Rahul Agarwal,rahul agarwal,7.0,7.0,1.0,0.0,100.0,b Gokul P,JNS RANGERS,2,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Lavesh Kalsekar,lavesh kalsekar,12.0,14.0,2.0,0.0,85.71,c&b Seemab K,JNS RANGERS,3,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Pratik Chitalia,pratik chitalia,15.0,19.0,1.0,0.0,78.95,b Vishal M,JNS RANGERS,4,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Varun Sood,varun sood,25.0,21.0,2.0,0.0,119.05,b Jay P,JNS RANGERS,5,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Abhishek Pingley,abhishek pingley,1.0,3.0,0.0,0.0,33.33,run out ( Jaymin M / Neel P ),JNS RANGERS,6,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Navratan Bengani,navratan bengani,24.0,19.0,3.0,0.0,126.32,b Abhishek K,JNS RANGERS,7,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Kanav Hingorani,kanav hingorani,12.0,8.0,1.0,1.0,150.0,c Siddhart C b Jay P,JNS RANGERS,8,jfscdpl202526,5444,playwright
